,accession,phylotype
173,MN493918.1,AL1-HP4-MS1-RS1
174,MN493918.1,AL1-HP4-MS4-RS1
175,MN493921.1,AL25-HP26-MS26-RS26
176,MN493921.1,AL26-HP26-MS26-RS26
177,MN493922.1,AL7-HP7-MS7-RS7
178,MN493922.1,AL7-HP7-MS7-RS11
179,MN493922.1,AL7-HP7-MS7-RS20
180,MN493922.1,AL11-HP7-MS7-RS7
181,MN493922.1,AL11-HP7-MS7-RS11
182,MN493922.1,AL11-HP7-MS7-RS20
183,MN493923.1,AL11-HP7-MS7-RS7
184,MN493923.1,AL11-HP7-MS7-RS11
185,MN493923.1,AL11-HP7-MS7-RS16
186,MN493923.1,AL11-HP7-MS7-RS20
187,MN493924.1,AL7-HP7-MS7-RS7
188,MN493924.1,AL7-HP7-MS7-RS11
189,MN493924.1,AL7-HP7-MS7-RS20
190,MN493924.1,AL11-HP7-MS7-RS7
191,MN493924.1,AL11-HP7-MS7-RS11
192,MN493924.1,AL11-HP7-MS7-RS20
193,MN577364.1,AL7-HP7-MS7-RS7
194,MN577364.1,AL7-HP7-MS7-RS11
195,MN577364.1,AL7-HP7-MS7-RS20
196,MN577364.1,AL11-HP7-MS7-RS7
197,MN577364.1,AL11-HP7-MS7-RS11
198,MN577364.1,AL11-HP7-MS7-RS20
199,MN577365.1,AL11-HP7-MS7-RS7
200,MN577365.1,AL11-HP7-MS7-RS11
201,MN577365.1,AL11-HP7-MS7-RS20
202,MN577367.1,AL9-HP9-MS9-RS20
203,MN577367.1,AL9-HP9-MS9-RS27
204,MN577367.1,AL9-HP9-MS9-RS29
205,MN577369.1,AL6-HP6-MS6-RS20
206,MN577369.1,AL6-HP6-MS6-RS27
207,MN577369.1,AL6-HP6-MS6-RS29
208,MN577369.1,AL20-HP6-MS6-RS20
209,MN577369.1,AL20-HP6-MS6-RS27
210,MN577369.1,AL20-HP6-MS6-RS29
211,MN577371.1,AL21-HP21-MS21-RS21
212,MN577372.1,AL8-HP8-MS8-RS12
213,MN577372.1,AL8-HP8-MS10-RS12
214,MN577372.1,AL8-HP8-MS14-RS12
215,MN577372.1,AL8-HP10-MS8-RS12
216,MN577372.1,AL8-HP10-MS10-RS12
217,MN577372.1,AL8-HP10-MS14-RS12
218,MN577372.1,AL8-HP14-MS8-RS12
219,MN577372.1,AL8-HP14-MS10-RS12
220,MN577372.1,AL8-HP14-MS14-RS12
221,MN577372.1,AL10-HP8-MS8-RS12
222,MN577372.1,AL10-HP8-MS10-RS12
223,MN577372.1,AL10-HP8-MS14-RS12
224,MN577372.1,AL10-HP10-MS8-RS12
225,MN577372.1,AL10-HP10-MS10-RS12
226,MN577372.1,AL10-HP10-MS14-RS12
227,MN577372.1,AL10-HP14-MS8-RS12
228,MN577372.1,AL10-HP14-MS10-RS12
229,MN577372.1,AL10-HP14-MS14-RS12
230,MN577375.1,AL36-HP35-MS35-RS37
231,MN577375.1,AL36-HP35-MS36-RS37
232,MN577375.1,AL36-HP36-MS35-RS37
233,MN577375.1,AL36-HP36-MS36-RS37
234,MN577376.1,AL12-HP12-MS12-RS12
235,MN577376.1,AL12-HP12-MS14-RS12
236,MN577376.1,AL12-HP14-MS12-RS12
237,MN577376.1,AL12-HP14-MS14-RS12
238,MN577376.1,AL25-HP12-MS12-RS12
239,MN577376.1,AL25-HP12-MS14-RS12
240,MN577376.1,AL25-HP14-MS12-RS12
241,MN577376.1,AL25-HP14-MS14-RS12
242,MN577377.1,AL12-HP12-MS12-RS12
243,MN577377.1,AL12-HP12-MS14-RS12
244,MN577377.1,AL12-HP14-MS12-RS12
245,MN577377.1,AL12-HP14-MS14-RS12
246,MN577377.1,AL25-HP12-MS12-RS12
247,MN577377.1,AL25-HP12-MS14-RS12
248,MN577377.1,AL25-HP14-MS12-RS12
249,MN577377.1,AL25-HP14-MS14-RS12
250,MN577380.1,AL16-HP16-MS16-RS7
251,MN577380.1,AL16-HP16-MS16-RS11
252,MN577380.1,AL16-HP16-MS16-RS16
253,MN577380.1,AL16-HP16-MS16-RS20
254,MN577380.1,AL16-HP16-MS16-RS26
255,MN577381.1,AL25-HP25-MS25-RS25
256,MN577381.1,AL26-HP25-MS25-RS25
257,MN577382.1,AL2-HP2-MS2-RS2
258,MN577383.1,AL19-HP19-MS19-RS19
259,MN577384.1,AL8-HP8-MS8-RS12
260,MN577384.1,AL8-HP8-MS10-RS12
261,MN577384.1,AL8-HP8-MS14-RS12
262,MN577384.1,AL8-HP10-MS8-RS12
263,MN577384.1,AL8-HP10-MS10-RS12
264,MN577384.1,AL8-HP10-MS14-RS12
265,MN577384.1,AL8-HP14-MS8-RS12
266,MN577384.1,AL8-HP14-MS10-RS12
267,MN577384.1,AL8-HP14-MS14-RS12
268,MN577384.1,AL10-HP8-MS8-RS12
269,MN577384.1,AL10-HP8-MS10-RS12
270,MN577384.1,AL10-HP8-MS14-RS12
271,MN577384.1,AL10-HP10-MS8-RS12
272,MN577384.1,AL10-HP10-MS10-RS12
273,MN577384.1,AL10-HP10-MS14-RS12
274,MN577384.1,AL10-HP14-MS8-RS12
275,MN577384.1,AL10-HP14-MS10-RS12
276,MN577384.1,AL10-HP14-MS14-RS12
277,MN577388.1,AL28-HP29-MS29-RS29
278,MN577388.1,AL29-HP29-MS29-RS29
