,species,haplotypes,haplotype_sizes,uid,fragment_count,all_identifiers,sample_identifiers
14,Bacillus weidmannii,"['145_1', '174_1', '186_1', '224_1', '58_1', '599_1']","['145', '174', '186', '224', '58', '599']",145_1-174_1-186_1-224_1-58_1-599_1,6,['S_MN493910.1'],['S_MN493910.1']
15,Brevibacillus agrii,"['161_1', '196_1', '212_1', '403_1', '410_1']","['161', '196', '212', '403', '410']",161_1-196_1-212_1-403_1-410_1,5,['S_MN577380.1'],['S_MN577380.1']
16,Brevundimonas diminuta,[],[],,0,[],[]
17,Brevundimonas naejangsanensis,['546_1'],['546'],546_1,1,"['R_KF453785.1', 'R_NR_040805.1', 'R_NR_113238.1', 'R_NR_113602.1', 'R_NR_114708.1', 'R_NR_116722.1', 'R_NR_117188.1', 'S_MN493875.1', 'S_MN493908.1', 'S_MN493912.1']","['S_MN493875.1', 'S_MN493908.1', 'S_MN493912.1']"
18,Curtobacterium oceanosedimentum,"['165_1', '205_1', '286_1', '310_1']","['165', '205', '286', '310']",165_1-205_1-286_1-310_1,4,"['R_KF687012.1', 'R_KR085937.1', 'R_LN890020.1', 'R_NR_104839.1', 'R_NR_116064.1', 'S_MN577383.1']",['S_MN577383.1']
19,Exiguobacterium aquaticum,"['209_1', '615_1']","['209', '615']",209_1-615_1,2,"['R_HM030747.1', 'R_HQ242770.1', 'R_KJ722467.1', 'R_KJ722475.1', 'R_KU933354.1', 'R_KX008295.1', 'R_MG489823.1', 'R_MN004848.1', 'R_MT538258.1', 'R_MW092883.1', 'R_MW530945.1', 'R_NR_042072.1', 'R_NR_109413.1', 'R_NR_112569.1', 'R_NR_112628.1', 'R_NR_115953.1', 'R_NR_118442.1', 'S_MN493879.1', 'S_MN493904.1', 'S_MN577369.1']","['S_MN493879.1', 'S_MN493904.1', 'S_MN577369.1']"
20,Janibacter melonis,"['204_1', '286_1', '310_1']","['204', '286', '310']",204_1-286_1-310_1,3,"['R_AY522569.1', 'R_JN644568.1', 'R_KC819073.1', 'R_KF306375.1', 'R_KR085938.1', 'R_NR_025805.1', 'S_MN577371.1']",['S_MN577371.1']
21,Lysinibacillus fusiformis,"['174_1', '209_1', '615_1']","['174', '209', '615']",174_1-209_1-615_1,3,"['R_KJ722467.1', 'R_MW530945.1', 'R_NR_042072.1', 'R_NR_112569.1', 'R_NR_112628.1', 'S_MN493879.1']",['S_MN493879.1']
22,Ochrobactrum anthropi,"['144_1', '209_1', '402_1']","['144', '209', '402']",144_1-209_1-402_1,3,"['R_JQ435696.1', 'R_NR_074243.1', 'R_NR_113811.1', 'R_NR_114979.1', 'S_MN493877.1', 'S_MN493878.1']","['S_MN493877.1', 'S_MN493878.1']"
23,Ochrobactrum pseudogrignonense  ,"['102_1', '105_1', '144_1', '159_1', '172_1', '197_1', '209_1', '243_1']","['102', '105', '144', '159', '172', '197', '209', '243']",102_1-105_1-144_1-159_1-172_1-197_1-209_1-243_1,8,['S_MN493898.1'],['S_MN493898.1']
24,Paenibacillus lautus,"['186_1', '88_1']","['186', '88']",186_1-88_1,2,"['R_HQ323446.1', 'R_JX094159.1', 'R_KF150330.1', 'R_KF475860.1', 'R_KT933220.1', 'R_LN889997.1', 'R_MG547925.1', 'R_MN880426.1', 'R_MN882711.1', 'R_MT133336.1', 'R_MT133347.1', 'R_NR_040882.1', 'R_NR_041794.1', 'R_NR_044428.1', 'R_NR_112724.1', 'R_NR_113945.1', 'R_NR_115599.1', 'R_NR_117185.1', 'R_NR_118439.1', 'S_MN493884.1', 'S_MN493921.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577381.1']","['S_MN493884.1', 'S_MN493921.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577381.1']"
25,Paenibacillus taichungensis,"['186_1', '635_1', '88_1']","['186', '635', '88']",186_1-635_1-88_1,3,"['R_JX094159.1', 'R_KF150330.1', 'R_KT933220.1', 'R_LN889997.1', 'R_MG547925.1', 'R_NR_040882.1', 'R_NR_044428.1', 'R_NR_112724.1', 'R_NR_115599.1', 'R_NR_117185.1', 'S_MN493884.1', 'S_MN493921.1', 'S_MN577381.1']","['S_MN493884.1', 'S_MN493921.1', 'S_MN577381.1']"
26,Planococcus massiliensis,"['175_1', '209_1', '614_1']","['175', '209', '614']",175_1-209_1-614_1,3,[],[]
27,Pseudomonas putida,"['162_1', '207_1', '211_1', '403_1']","['162', '207', '211', '403']",162_1-207_1-211_1-403_1,4,"['R_JQ782896.1', 'R_KX345930.1', 'R_MK426804.1', 'R_MN134487.1', 'R_MN318320.1', 'R_NR_040859.1', 'R_NR_043424.1', 'R_NR_104278.1', 'R_NR_113651.1', 'R_NR_113856.1', 'R_NR_114479.1', 'R_NR_114794.1', 'S_MN493895.1', 'S_MN493896.1', 'S_MN493899.1', 'S_MN577388.1']","['S_MN493895.1', 'S_MN493896.1', 'S_MN493899.1', 'S_MN577388.1']"
28,Pseudomonas umsongensis,"['162_1', '162_2', '209_1', '403_1']","['162', '162', '209', '403']",162_1-162_2-209_1-403_1,4,"['R_JQ782896.1', 'R_KX345930.1', 'R_MK426804.1', 'R_MN134487.1', 'R_MN318320.1', 'R_NR_025227.1', 'R_NR_040859.1', 'R_NR_043424.1', 'R_NR_104278.1', 'R_NR_113651.1', 'R_NR_113856.1', 'R_NR_114479.1', 'S_MN493896.1', 'S_MN493899.1', 'S_MN577388.1']","['S_MN493896.1', 'S_MN493899.1', 'S_MN577388.1']"
29,Rhodococcus qingshengii,"['147_1', '223_1', '245_1', '350_1', '58_1']","['147', '223', '245', '350', '58']",147_1-223_1-245_1-350_1-58_1,5,"['R_KF055006.1', 'R_NR_043535.1', 'R_NR_115708.1', 'S_MN493891.1']",['S_MN493891.1']
30,Serratia marcescens,"['207_1', '211_1', '374_1', '79_1', '86_1']","['207', '211', '374', '79', '86']",207_1-211_1-374_1-79_1-86_1,5,"['R_MN319499.1', 'R_NR_036886.1', 'R_NR_114043.1', 'S_MN493913.1']",['S_MN493913.1']
31,Sporosarcina globispora,['186_1'],['186'],186_1,1,"['R_AB682452.1', 'R_HQ323446.1', 'R_JF970589.1', 'R_JX094159.1', 'R_KF150330.1', 'R_KF475860.1', 'R_KF730754.1', 'R_KF730766.1', 'R_KR085833.1', 'R_KR085924.1', 'R_KT933220.1', 'R_LN889997.1', 'R_MG547925.1', 'R_MK855405.1', 'R_MN726923.1', 'R_MN880426.1', 'R_MN882711.1', 'R_MN960268.1', 'R_MN960276.1', 'R_MT012197.1', 'R_MT052656.1', 'R_MT052668.1', 'R_MT111081.1', 'R_MT133336.1', 'R_MT133347.1', 'R_MT491101.1', 'R_NR_027552.1', 'R_NR_029233.1', 'R_NR_036942.1', 'R_NR_040882.1', 'R_NR_041794.1', 'R_NR_043526.1', 'R_NR_044428.1', 'R_NR_074540.1', 'R_NR_075005.2', 'R_NR_112116.2', 'R_NR_112629.1', 'R_NR_112630.1', 'R_NR_112724.1', 'R_NR_113265.1', 'R_NR_113266.1', 'R_NR_113752.1', 'R_NR_113811.1', 'R_NR_113837.1', 'R_NR_113945.1', 'R_NR_113991.1', 'R_NR_114422.1', 'R_NR_114582.1', 'R_NR_115526.1', 'R_NR_115599.1', 'R_NR_115714.1', 'R_NR_116017.1', 'R_NR_116183.1', 'R_NR_116192.1', 'R_NR_116240.1', 'R_NR_117185.1', 'R_NR_118383.1', 'R_NR_118439.1', 'R_NR_118912.1', 'R_NR_118965.1', 'R_NR_118972.1', 'R_NR_152692.1', 'S_MN493883.1', 'S_MN493884.1', 'S_MN493885.1', 'S_MN493888.1', 'S_MN493889.1', 'S_MN493892.1', 'S_MN493900.1', 'S_MN493905.1', 'S_MN493910.1', 'S_MN493914.1', 'S_MN493915.1', 'S_MN493916.1', 'S_MN493921.1', 'S_MN493922.1', 'S_MN493923.1', 'S_MN493924.1', 'S_MN577364.1', 'S_MN577365.1', 'S_MN577368.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577378.1', 'S_MN577381.1', 'S_MN577389.1']","['S_MN493883.1', 'S_MN493884.1', 'S_MN493885.1', 'S_MN493888.1', 'S_MN493889.1', 'S_MN493892.1', 'S_MN493900.1', 'S_MN493905.1', 'S_MN493910.1', 'S_MN493914.1', 'S_MN493915.1', 'S_MN493916.1', 'S_MN493921.1', 'S_MN493922.1', 'S_MN493923.1', 'S_MN493924.1', 'S_MN577364.1', 'S_MN577365.1', 'S_MN577368.1', 'S_MN577376.1', 'S_MN577377.1', 'S_MN577378.1', 'S_MN577381.1', 'S_MN577389.1']"
32,Sporosarcina koreensis,"['173_1', '186_1', '209_1', '429_1']","['173', '186', '209', '429']",173_1-186_1-209_1-429_1,4,"['R_AB682452.1', 'R_JF970589.1', 'R_KF730766.1', 'R_KR085924.1', 'R_NR_029233.1', 'R_NR_036942.1', 'R_NR_043526.1', 'R_NR_113752.1', 'R_NR_113837.1', 'S_MN493888.1', 'S_MN493889.1']","['S_MN493888.1', 'S_MN493889.1']"
33,Sporosarcina koreensis ,"['173_1', '186_1', '209_1', '412_1', '429_1']","['173', '186', '209', '412', '429']",173_1-186_1-209_1-412_1-429_1,5,['S_MN493888.1'],['S_MN493888.1']
34,Stenotrophomonas maltophilia,['376_1'],['376'],376_1,1,"['R_KF724885.1', 'R_NR_040804.1', 'R_NR_041577.1', 'R_NR_112030.1', 'R_NR_113648.1', 'R_NR_116793.1', 'R_NR_118008.1', 'R_NR_119220.1', 'R_NR_121739.1', 'S_MN493874.1', 'S_MN493876.1', 'S_MN493907.1', 'S_MN493909.1', 'S_MN577375.1', 'S_MN577385.1']","['S_MN493874.1', 'S_MN493876.1', 'S_MN493907.1', 'S_MN493909.1', 'S_MN577375.1', 'S_MN577385.1']"
35,Stenotrophomonas pavanii,"['128_1', '169_1', '207_1', '276_1', '376_1']","['128', '169', '207', '276', '376']",128_1-169_1-207_1-276_1-376_1,5,"['R_NR_041577.1', 'R_NR_112030.1', 'R_NR_113648.1', 'R_NR_116793.1', 'R_NR_118008.1', 'R_NR_119220.1', 'S_MN493874.1', 'S_MN493876.1', 'S_MN493907.1', 'S_MN493909.1', 'S_MN577375.1']","['S_MN493874.1', 'S_MN493876.1', 'S_MN493907.1', 'S_MN493909.1', 'S_MN577375.1']"
36,Stenotrophomonas rhizophilia,"['168_1', '377_1', '445_1']","['168', '377', '445']",168_1-377_1-445_1,3,"['R_AJ293463.1', 'R_KX018309.1', 'R_NR_028930.1']",[]
